DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2020-11-21,217.0,,0.0,0.0,0.0
2020-11-22,228.0,39.0,0.0,0.0,0.0
2020-11-23,194.0,61.0,13.0,0.0,0.0
2020-11-24,167.0,17.0,0.0,0.0,0.0
2020-11-25,133.0,17.0,0.0,0.0,0.0
2020-11-26,200.0,50.0,0.0,0.0,0.0
2020-11-27,206.0,133.0,18.0,0.0,0.0
2020-11-28,200.0,100.0,18.0,0.0,0.0
2020-11-29,200.0,56.0,13.0,0.0,0.0
2020-11-30,183.0,67.0,363.0,0.0,0.0
2020-12-01,194.0,6.0,53.0,0.0,0.0
2020-12-02,83.0,-50.0,0.0,0.0,0.0
2020-12-03,122.0,-50.0,0.0,0.0,0.0
2020-12-04,144.0,-44.0,0.0,0.0,0.0
2020-12-05,206.0,44.0,114.0,0.0,0.0
2020-12-06,150.0,-22.0,0.0,0.0,0.0
2020-12-07,122.0,-22.0,61.0,0.0,0.0
2020-12-08,94.0,-39.0,0.0,0.0,0.0
2020-12-09,83.0,-39.0,0.0,0.0,0.0
2020-12-10,133.0,-33.0,0.0,0.0,0.0
2020-12-11,189.0,0.0,0.0,0.0,0.0
2020-12-12,194.0,17.0,0.0,0.0,0.0
2020-12-13,194.0,61.0,3.0,0.0,0.0
2020-12-14,233.0,100.0,0.0,0.0,0.0
2020-12-15,178.0,0.0,79.0,0.0,0.0
2020-12-16,89.0,11.0,51.0,0.0,0.0
2020-12-17,33.0,17.0,81.0,0.0,0.0
2020-12-18,61.0,22.0,0.0,0.0,0.0
2020-12-19,78.0,-39.0,0.0,0.0,0.0
2020-12-20,111.0,-39.0,97.0,0.0,0.0
2020-12-21,94.0,44.0,97.0,0.0,0.0
2020-12-22,156.0,28.0,0.0,0.0,0.0
2020-12-23,161.0,-17.0,0.0,0.0,0.0
2020-12-24,167.0,-17.0,13.0,0.0,0.0
2020-12-25,172.0,-22.0,155.0,0.0,0.0
2020-12-26,28.0,-89.0,0.0,0.0,0.0
2020-12-27,72.0,-89.0,0.0,0.0,0.0
2020-12-28,128.0,-67.0,0.0,0.0,0.0
2020-12-29,172.0,-28.0,0.0,0.0,0.0
2020-12-30,156.0,0.0,0.0,0.0,0.0
2020-12-31,56.0,11.0,84.0,0.0,0.0
2021-01-01,122.0,56.0,198.0,0.0,0.0
2021-01-02,122.0,72.0,295.0,0.0,0.0
2021-01-03,178.0,83.0,229.0,0.0,0.0
2021-01-04,161.0,61.0,0.0,0.0,0.0
2021-01-05,144.0,0.0,3.0,0.0,0.0
2021-01-06,133.0,6.0,3.0,0.0,0.0
2021-01-07,100.0,-28.0,0.0,0.0,0.0
2021-01-08,117.0,-28.0,236.0,0.0,0.0
2021-01-09,44.0,6.0,61.0,0.0,0.0
2021-01-10,94.0,-28.0,0.0,0.0,0.0
2021-01-11,117.0,-28.0,0.0,0.0,0.0
2021-01-12,83.0,0.0,84.0,0.0,0.0
2021-01-13,139.0,-6.0,3.0,0.0,0.0
2021-01-14,67.0,0.0,0.0,0.0,0.0
2021-01-15,144.0,-11.0,0.0,0.0,0.0
2021-01-16,89.0,-17.0,28.0,0.0,0.0
2021-01-17,83.0,-50.0,0.0,0.0,0.0
2021-01-18,83.0,-50.0,0.0,0.0,0.0
2021-01-19,122.0,-33.0,0.0,0.0,0.0
2021-01-20,167.0,-39.0,0.0,0.0,0.0
2021-01-21,156.0,11.0,0.0,0.0,0.0
2021-01-22,139.0,39.0,0.0,0.0,0.0
2021-01-23,156.0,17.0,0.0,0.0,0.0
2021-01-24,111.0,-28.0,0.0,0.0,0.0
2021-01-25,128.0,-28.0,3.0,0.0,0.0
2021-01-26,117.0,67.0,69.0,0.0,0.0
2021-01-27,200.0,89.0,99.0,0.0,0.0
2021-01-28,139.0,28.0,97.0,0.0,0.0
2021-01-29,89.0,-39.0,0.0,0.0,0.0
2021-01-30,67.0,-50.0,0.0,0.0,0.0
2021-01-31,89.0,-39.0,8.0,0.0,0.0
2021-02-01,50.0,17.0,180.0,0.0,0.0
2021-02-02,56.0,6.0,8.0,0.0,0.0
2021-02-03,61.0,-33.0,0.0,0.0,0.0
2021-02-04,111.0,-67.0,0.0,0.0,0.0
2021-02-05,100.0,-67.0,25.0,0.0,0.0
2021-02-06,122.0,0.0,15.0,0.0,0.0
2021-02-07,117.0,0.0,66.0,0.0,0.0
2021-02-08,122.0,-11.0,3.0,0.0,0.0
2021-02-09,144.0,0.0,0.0,0.0,0.0
2021-02-10,200.0,50.0,0.0,0.0,0.0
2021-02-11,133.0,78.0,0.0,0.0,0.0
2021-02-12,161.0,22.0,216.0,0.0,0.0
2021-02-13,28.0,6.0,15.0,0.0,0.0
2021-02-14,33.0,6.0,185.0,0.0,0.0
2021-02-15,39.0,17.0,175.0,0.0,0.0
2021-02-16,106.0,28.0,218.0,0.0,0.0
2021-02-17,128.0,-17.0,0.0,0.0,0.0
2021-02-18,100.0,-17.0,188.0,0.0,0.0
2021-02-19,28.0,11.0,295.0,0.0,0.0
2021-02-20,100.0,-33.0,10.0,0.0,0.0
2021-02-21,111.0,-33.0,0.0,0.0,0.0
2021-02-22,111.0,-28.0,13.0,0.0,0.0
2021-02-23,133.0,0.0,58.0,0.0,0.0
2021-02-24,200.0,0.0,0.0,0.0,0.0
2021-02-25,233.0,-6.0,0.0,0.0,0.0
2021-02-26,228.0,33.0,0.0,0.0,0.0
2021-02-27,111.0,50.0,13.0,0.0,0.0
2021-02-28,233.0,56.0,0.0,0.0,0.0
2021-03-01,283.0,117.0,0.0,0.0,0.0
2021-03-02,189.0,61.0,33.0,0.0,0.0
2021-03-03,94.0,39.0,20.0,0.0,0.0
2021-03-04,172.0,6.0,3.0,0.0,0.0
2021-03-05,206.0,6.0,0.0,0.0,0.0
2021-03-06,133.0,39.0,0.0,0.0,0.0
2021-03-07,128.0,0.0,0.0,0.0,0.0
2021-03-08,117.0,-44.0,0.0,0.0,0.0
2021-03-09,178.0,-44.0,0.0,0.0,0.0
2021-03-10,228.0,-22.0,0.0,0.0,0.0
2021-03-11,233.0,17.0,0.0,0.0,0.0
2021-03-12,244.0,39.0,0.0,0.0,0.0
2021-03-13,272.0,72.0,0.0,0.0,0.0
2021-03-14,183.0,111.0,15.0,0.0,0.0
2021-03-15,228.0,111.0,0.0,0.0,0.0
2021-03-16,150.0,44.0,23.0,0.0,0.0
2021-03-17,72.0,39.0,244.0,0.0,0.0
2021-03-18,133.0,67.0,13.0,0.0,0.0
